City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Ancud,CL,2021-10-11 23:31:16,-41.8697,-73.8203,56.73,90,100,4.76,overcast clouds
100,Beloha,MG,2021-10-11 23:32:54,-25.1667,45.05,62.06,76,40,9.57,scattered clouds
101,Cap Malheureux,MU,2021-10-11 23:32:55,-19.9842,57.6142,72.46,88,86,1.99,overcast clouds
102,Saskylakh,RU,2021-10-11 23:30:32,71.9167,114.0833,26.2,96,100,14.18,light snow
103,Nishihara,JP,2021-10-11 23:32:55,26.1842,127.7558,78.46,89,75,14.97,broken clouds
104,Humaita,BR,2021-10-11 23:32:55,-7.5061,-63.0208,82.24,67,84,3.22,broken clouds
105,Gorontalo,ID,2021-10-11 23:32:56,0.5412,123.0595,84.22,71,88,3.6,overcast clouds
106,Clermont,FR,2021-10-11 23:32:56,49.5,2.4167,49.05,93,68,5.99,broken clouds
107,Quata,BR,2021-10-11 23:32:56,-22.2475,-50.6983,70.84,68,98,11.72,overcast clouds
108,Anori,BR,2021-10-11 23:32:57,-3.7728,-61.6442,83.71,58,83,1.41,broken clouds
109,Inuvik,CA,2021-10-11 23:30:55,68.3499,-133.7218,30.96,93,75,3.44,broken clouds
110,Burnie,AU,2021-10-11 23:32:57,-41.0667,145.9167,49.95,84,92,12.71,overcast clouds
111,Lavumisa,SZ,2021-10-11 23:32:57,-27.31,31.892,52.92,76,67,5.82,broken clouds
112,Cabo San Lucas,MX,2021-10-11 23:29:58,22.8909,-109.9124,91.62,65,20,11.5,few clouds
113,Acarau,BR,2021-10-11 23:32:58,-2.8856,-40.12,79.21,79,6,17.0,clear sky
114,Auki,SB,2021-10-11 23:32:58,-8.7676,160.7034,86.65,61,43,4.61,scattered clouds
115,Chibuto,MZ,2021-10-11 23:32:58,-24.6867,33.5306,58.37,72,0,4.7,clear sky
116,Dikson,RU,2021-10-11 23:30:09,73.5069,80.5464,30.49,70,88,13.56,overcast clouds
117,Waipawa,NZ,2021-10-11 23:32:59,-41.4122,175.5153,56.03,86,34,13.13,scattered clouds
118,Vinces,EC,2021-10-11 23:32:59,-1.55,-79.7333,80.49,51,64,5.79,broken clouds
119,Sabha,LY,2021-10-11 23:32:59,27.0377,14.4283,72.3,30,64,8.88,broken clouds
120,Pandan,PH,2021-10-11 23:32:59,14.0453,124.1694,82.51,80,100,16.46,overcast clouds
121,Port-Cartier,CA,2021-10-11 23:31:50,50.0334,-66.8654,52.75,89,32,3.98,scattered clouds
122,Severo-Kurilsk,RU,2021-10-11 23:30:37,50.6789,156.125,45.64,85,91,31.25,light rain
123,Takoradi,GH,2021-10-11 23:33:00,4.8845,-1.7554,77.41,92,41,6.11,scattered clouds
124,Omboue,GA,2021-10-11 23:33:00,-1.5746,9.2618,77.25,89,100,4.25,overcast clouds
125,Gwadar,PK,2021-10-11 23:33:01,25.1216,62.3254,80.19,30,0,8.5,clear sky
126,Porto Novo,BJ,2021-10-11 23:33:01,6.4965,2.6036,82.22,89,15,5.01,light rain
127,Khatanga,RU,2021-10-11 23:30:38,71.9667,102.5,17.31,96,100,6.15,light snow
128,Leshukonskoye,RU,2021-10-11 23:33:02,64.8989,45.7622,42.75,93,97,7.65,overcast clouds
129,Maniitsoq,GL,2021-10-11 23:23:32,65.4167,-52.9,37.9,73,97,5.32,overcast clouds
130,Lotoshino,RU,2021-10-11 23:33:02,56.2267,35.6414,38.28,79,83,6.71,broken clouds
131,Necochea,AR,2021-10-11 23:33:03,-38.5473,-58.7368,60.04,95,41,10.25,scattered clouds
132,Pineville,US,2021-10-11 23:33:03,31.3224,-92.4343,84.13,73,75,5.75,broken clouds
133,Lagoa,PT,2021-10-11 23:30:40,39.05,-27.9833,69.19,82,100,10.8,overcast clouds
134,Mar Del Plata,AR,2021-10-11 23:30:22,-38.0023,-57.5575,57.99,61,75,8.99,broken clouds
135,Champerico,GT,2021-10-11 23:33:03,14.3,-91.9167,86.34,80,15,7.25,few clouds
136,Paoua,CF,2021-10-11 23:33:04,7.2427,16.4406,69.98,97,97,5.19,light rain
137,Pingdu,CN,2021-10-11 23:33:04,36.7844,119.9464,53.04,60,86,4.16,overcast clouds
138,Qaanaaq,GL,2021-10-11 23:30:01,77.484,-69.3632,30.96,97,100,9.33,light snow
139,Colares,PT,2021-10-11 23:33:04,38.7992,-9.4469,75.33,47,6,4.0,clear sky
140,Zhigansk,RU,2021-10-11 23:30:16,66.7697,123.3711,22.01,91,100,12.77,overcast clouds
141,Port Elizabeth,ZA,2021-10-11 23:30:44,-33.918,25.5701,55.69,67,0,5.75,clear sky
142,Carnarvon,AU,2021-10-11 23:30:39,-24.8667,113.6333,60.87,55,0,21.85,clear sky
